"repository_url","age_days","forks","subscribers","stargazers","pull_requests","issues","comments","commits","contributors","followers"
https://api.github.com/repos/bdonahue/TwitchTvClient,189,18,1,3,1,0,0,19,1,8
https://api.github.com/repos/beanieboi/ffprober,860,5,2,7,18,25,0,197,4,61
https://api.github.com/repos/beatfactor/nightwatch,905,136,104,2172,77,188,29,502,24,29
https://api.github.com/repos/beatgammit/base64-js,1018,14,4,34,6,3,0,23,4,26
https://api.github.com/repos/bedirhan/wivet,167,3,1,16,2,8,0,6,2,4
https://api.github.com/repos/beenje/addon-pr,567,2,2,4,8,0,0,24,2,7
https://api.github.com/repos/beevik/etree,450,6,4,45,6,4,1,17,3,1
https://api.github.com/repos/begriffs/lucre,512,57,29,508,5,1,0,27,4,115
https://api.github.com/repos/behdad/harfbuzz,786,41,27,114,44,10,52,3479,16,118
https://api.github.com/repos/benbalter/word-to-markdown,170,16,15,242,7,26,2,129,6,1833
https://api.github.com/repos/benbalter/WP-Readme-to-Github-Markdown,954,13,5,48,11,4,0,30,7,1833
https://api.github.com/repos/benjamincanac/bootstrap-multiselect-rails,416,22,1,13,4,3,0,17,5,12
https://api.github.com/repos/benjimarshall/anticake,171,0,2,1,3,3,1,32,2,2
https://api.github.com/repos/benoitc/econfig,863,4,2,43,4,4,0,73,2,602
https://api.github.com/repos/benoitc/gunicorn,1743,401,137,1983,293,593,190,1621,139,602
https://api.github.com/repos/benoitc/hackney,798,65,33,223,51,72,11,450,28,602
https://api.github.com/repos/benoitc/hackney_lib,263,15,4,11,14,0,0,284,21,602
https://api.github.com/repos/bentut/udaman,1138,5,3,3,8,2,0,385,2,10
https://api.github.com/repos/benwells/pull-request-exercise,167,4,9,0,5,9,0,14,3,5
https://api.github.com/repos/berkholz/vcard2fritzXML,319,2,3,0,2,8,0,10,3,2
https://api.github.com/repos/bernardopires/pagseguro-ambiente-testes,655,15,7,27,2,5,0,20,2,24
https://api.github.com/repos/bernd/fpm-cookery,1079,43,24,243,55,40,4,448,23,59
https://api.github.com/repos/BernhardKonrad/githubIsFun,168,4,2,0,4,0,0,7,4,8
https://api.github.com/repos/bernii/querystring-parser,1215,18,6,39,9,7,0,25,5,39
https://api.github.com/repos/bezumkin/Docs,245,29,6,18,95,10,0,267,15,81
https://api.github.com/repos/bezumkin/Sendex,299,8,1,2,13,8,0,80,3,81
https://api.github.com/repos/bflad/chef-docker,485,115,29,267,90,117,4,573,39,28
https://api.github.com/repos/bflad/chef-stash,756,18,6,20,20,16,4,290,4,28
https://api.github.com/repos/bgreenlee/sublime-github,1146,35,18,275,16,54,2,107,15,29
https://api.github.com/repos/bgschiller/latex-therefore,444,7,6,139,3,3,0,16,3,20
https://api.github.com/repos/Bhathiya90/EverfailRepo,181,4,5,0,17,0,0,30,5,0
https://api.github.com/repos/biemond/biemond-oradb,362,13,5,8,11,13,0,102,6,100
https://api.github.com/repos/biemond/biemond-orawls,311,22,10,12,32,23,4,378,6,100
https://api.github.com/repos/biggora/express-useragent,898,24,5,67,13,13,0,62,9,8
https://api.github.com/repos/bigin/imanager,351,2,2,3,2,0,0,8,2,0
https://api.github.com/repos/biicode/docs,313,10,9,0,91,17,0,812,11,6
https://api.github.com/repos/billforsternz/old-tarrasch-chess-gui,167,2,1,2,3,0,0,6,1,1
https://api.github.com/repos/birarda/logan,410,12,4,9,8,8,0,67,6,10
https://api.github.com/repos/birdyboy18/fragmentagency,179,1,1,0,5,0,0,24,2,9
https://api.github.com/repos/bjeavons/sastats,342,1,1,3,1,0,0,7,2,23
https://api.github.com/repos/bjo3rnf/DpnXmlSitemapBundle,1007,3,3,16,12,15,1,57,5,14
https://api.github.com/repos/bjz/gl-rs,600,44,14,90,108,59,0,336,22,75
https://api.github.com/repos/bjz/sax-rs,391,18,9,14,38,13,0,120,13,75
https://api.github.com/repos/bkaradzic/bgfx,887,78,76,485,68,81,12,1344,14,97
https://api.github.com/repos/blackfalcon/js-basics,322,7,2,11,4,1,0,18,3,106
https://api.github.com/repos/blackfalcon/UXEBootCamp-B12.IntroToJavaScript,168,8,1,0,7,0,0,1,1,106
https://api.github.com/repos/blackfalcon/UXEBootCamp-B12.IntroTojQuery,166,9,1,0,9,0,0,1,1,106
https://api.github.com/repos/BlackIkeEagle/blog.blackikeeagle,169,1,1,1,1,0,0,14,2,23
https://api.github.com/repos/blai/grunt-express,562,29,13,235,17,50,4,82,10,33
https://api.github.com/repos/Blank101/pawntactics-maps,168,1,1,0,3,0,0,8,2,25
https://api.github.com/repos/ble20/new_project,167,4,1,0,1,0,0,4,2,0
https://api.github.com/repos/blha303/puush-linux,543,8,1,9,4,5,0,21,4,11
https://api.github.com/repos/bliker/cmder,426,124,113,2012,68,195,4,190,20,34
https://api.github.com/repos/bling/vim-airline,435,233,120,3782,173,426,32,898,69,157
https://api.github.com/repos/blink1073/oct2py,758,17,5,27,9,46,9,597,8,7
https://api.github.com/repos/bllim/laravel4-datatables-package,502,74,19,188,48,90,9,133,24,5
https://api.github.com/repos/BlockMen/hud,437,4,7,5,4,5,0,44,4,12
https://api.github.com/repos/blommegard/SBTickerView,1002,48,15,367,3,6,0,9,3,115
https://api.github.com/repos/blueimp/jQuery-File-Upload,1377,4393,1098,17436,175,3162,87,809,37,1648
https://api.github.com/repos/BlueRiverInteractive/robovm-ios-bindings,357,50,22,79,25,69,2,212,15,7
https://api.github.com/repos/blythest/portscanner-linuxvm,173,1,1,0,1,0,0,8,1,10
https://api.github.com/repos/BmanDesignsCanada/LiSpeak,258,17,19,34,29,48,3,129,6,1
https://api.github.com/repos/bmbrands/theme_bootstrap,711,51,24,70,168,171,12,464,9,13
https://api.github.com/repos/bmceldowney/side-scroller,176,1,0,0,1,0,0,6,1,2
https://api.github.com/repos/bmwiedemann/openQA,928,0,1,1,0,0,0,330,9,6
https://api.github.com/repos/bnadlerjr/tavi,383,1,1,4,7,48,0,149,2,11
https://api.github.com/repos/BobKnothe/autoNumeric,602,131,30,233,20,76,0,108,8,14
https://api.github.com/repos/BobPalmer/MKS,176,27,21,37,33,178,6,305,17,15
https://api.github.com/repos/boekkooi/openshift-diy-nginx-php,574,35,8,28,4,10,0,16,3,10
https://api.github.com/repos/bogdan/datagrid,1183,64,28,549,46,77,8,615,21,82
https://api.github.com/repos/bogwro/slickgrid-requirejs-rails,403,1,1,0,5,0,0,30,2,3
https://api.github.com/repos/bojidar-bg/dokuwiki-callflow-plugin,383,2,1,0,3,1,0,21,3,1
https://api.github.com/repos/bokmann/business_time,1609,88,1,397,61,27,11,163,22,67
https://api.github.com/repos/bolero-MURAKAMI/Sprout,1103,22,26,138,57,10,1,879,10,98
https://api.github.com/repos/bombaatu/grails-twitter-checker,172,1,1,0,1,0,0,17,2,0
https://api.github.com/repos/BonzaiThePenguin/WikiSort,198,60,33,931,8,15,0,43,5,14
https://api.github.com/repos/booklover4/lh_wordpress_blank_theme,174,1,1,0,2,0,0,6,2,0
https://api.github.com/repos/boonebgorges/buddypress-docs,1351,24,14,65,33,392,25,862,11,207
https://api.github.com/repos/boonebgorges/invite-anyone,1460,11,6,19,21,96,2,310,7,207
https://api.github.com/repos/bootflat/bootflat.github.io,186,232,128,2858,15,39,3,123,2,52
https://api.github.com/repos/borisyankov/DefinitelyTyped,703,1644,204,2549,2222,590,149,5845,548,79
https://api.github.com/repos/BorjaMartin/herosinatra,273,6,2,6,157,4,0,1185,7,25
https://api.github.com/repos/bos/math-functions,1001,8,4,13,4,21,5,122,3,869
https://api.github.com/repos/bpietropaoli/THEGAME,483,1,2,0,6,0,0,61,2,3
https://api.github.com/repos/brandonhilkert/fucking_shell_scripts,388,54,26,726,11,14,0,36,8,112
https://api.github.com/repos/brendonv/stylr,177,1,2,1,36,0,0,217,2,1
https://api.github.com/repos/brennonyork/clj-template,190,2,5,9,1,2,0,20,2,3
